Koordinatensystem : Lambert konform konisch
Rechtswert        : 4224500 Meter
Hochwert          : 2861500 Meter
Hoehenlage        : 40 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4224500 2861500  1  1  1  -7.2 1016 139  4.5 0  1.6  74    0    0 186 -285  0
4224500 2861500  1  1  2  -7.9 1016 139  4.2 0  1.6  74    0    0 184 -285  0
4224500 2861500  1  1  3  -8.6 1015 147  4.7 0  1.5  74    0    0 182 -284  0
4224500 2861500  1  1  4  -8.8 1014 167  4.5 1  1.4  73    0    0 187 -284  0
4224500 2861500  1  1  5  -9.6 1014 124  3.3 1  1.4  74    0    0 192 -284  0
4224500 2861500  1  1  6 -10.0 1013 157  3.6 1  1.4  77    0    0 190 -285  0
4224500 2861500  1  1  7 -10.0 1012 167  3.8 0  1.4  79    0    0 181 -286  0
4224500 2861500  1  1  8 -10.4 1012 186  3.9 1  1.4  78    0    0 180 -288  0
4224500 2861500  1  1  9 -10.6 1011 143  4.1 2  1.3  77    1   10 190 -289  0
4224500 2861500  1  1 10  -9.9 1010 187  4.5 5  1.3  75   13   58 213 -291  0
4224500 2861500  1  1 11  -9.0 1010 187  3.8 6  1.3  72    0   55 240 -294  0
4224500 2861500  1  1 12  -8.0 1009 186  3.9 7  1.4  70    0   42 255 -297  0
4224500 2861500  1  1 13  -7.0 1007 206  3.6 7  1.5  68    0   40 264 -300  0
4224500 2861500  1  1 14  -6.4 1006 206  3.6 7  1.6  69    0   36 262 -302  0
4224500 2861500  1  1 15  -5.9 1004 215  3.5 7  1.7  72    0   23 262 -304  0
4224500 2861500  1  1 16  -5.5 1003 149  3.6 8  1.9  75    0   11 269 -304  0
4224500 2861500  1  1 17  -5.1 1002 144  4.0 8  2.0  78    0    0 279 -304  0
4224500 2861500  1  1 18  -4.5 1001 141  4.5 8  2.2  80    0    0 281 -304  0
4224500 2861500  1  1 19  -3.7  999 186  4.6 8  2.3  83    0    0 284 -305  0
4224500 2861500  1  1 20  -2.7  997 187  4.9 8  2.6  85    0    0 288 -306  0
4224500 2861500  1  1 21  -1.7  995 186  4.6 8  2.9  88    0    0 292 -308  0
4224500 2861500  1  1 22  -1.1  993 141  3.7 8  3.2  92    0    0 295 -309  0
4224500 2861500  1  1 23  -0.3  991 143  4.5 8  3.6  97    0    0 299 -311  0
4224500 2861500  1  1 24   0.3  990 152  4.1 8  3.9 100    0    0 305 -313  0
4224500 2861500  1  2  1   0.7  988 153  4.5 8  4.0 100    0    0 308 -314  0
4224500 2861500  1  2  2   1.9  987 216  4.4 8  4.3 100    0    0 312 -315  0
4224500 2861500  1  2  3   2.7  986 217  5.0 8  4.6 100    0    0 317 -315  0
4224500 2861500  1  2  4   3.6  985 227  4.8 8  4.9 100    0    0 322 -315  0
4224500 2861500  1  2  5   4.7  983 238  6.2 8  5.3 100    0    0 326 -315  0
4224500 2861500  1  2  6   5.7  983 247  6.6 8  5.7 100    0    0 330 -316  0
4224500 2861500  1  2  7   6.4  983 257  6.3 8  6.0  99    0    0 334 -316  0
4224500 2861500  1  2  8   7.2  983 258  6.4 8  6.2  98    0    0 337 -316  0
4224500 2861500  1  2  9   7.6  983 258  6.9 7  6.5  98    0    5 331 -320  0
4224500 2861500  1  2 10   7.8  984 258  5.9 8  6.7  99    2   40 331 -329  0
4224500 2861500  1  2 11   7.9  984 258  5.5 7  6.7  98    0   53 331 -333  0
4224500 2861500  1  2 12   7.9  984 258  4.1 7  6.7  98    1   77 321 -338  0
4224500 2861500  1  2 13   7.6  984 248  3.3 7  6.7 100    0   61 324 -342  0
4224500 2861500  1  2 14   7.4  983 258  2.6 7  6.6 100    0   36 324 -343  0
4224500 2861500  1  2 15   7.0  982 246  2.3 7  6.5 100    0   17 323 -340  0
